Brand Name,Only:Accessory/Outerwear/Swimwear/Formalwear/Showroom,Boys,Girls,Address,Website,Logo Link (PNG),Origination Date,Blurb,Organic Y/M/N,Made in the USA Y/N,Low Size,High Size,Twitter,Insta,Facebook,Pinterest,Price Level (1-5),Pop,Techno/Funk,Indie,Hip Hop,Jazz,Lullaby,Jock Jams,Still in Business?,Internal ,Point of Contact,Contact Info
chocolatesoup,,,,,www. chocolatesoup.info,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
chocolette,,,,,www. chocoletteny.com,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Chooze Shoes,,,,,https://www.mychooze.com/,,,,,,,,cannot find,http://instagram.com/mychooze,http://facebook.com/mychooze,http://pinterest.com/mychooze,,,,,,,,,,,,
Choupette</div>,,,,,https://choupetteusa.com/,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
Christie Helene Children's Formal Wear</div>,,,,,https://christiehelene.net/,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
Christina Rohde,,,,,http://christinarohde.dk/,,,,,,,,cannot find,https://www.instagram.com/christinarohde_/,https://www.facebook.com/Christina-Rohde-565134763619981/,https://dk.pinterest.com/christinarohde8/,,,,,,,,,,,,
Christine Clarke Fashion Collections</div>,,,,,http://alternativemindz.com/2017/04/christine-clarkes-fashion-collection-for-older-girls-adds-the-hobo-sak/,,,,,,,,https://www.google.com/url?hl=en&amp;q=http://twitter.com/DOUGLAStoys&amp;source=gmail&amp;ust=1493132214149000&amp;usg=AFQjCNE-bJk_Zt2GGJmBXBg-t8ygkcXj-g,http://instagram.com/AlternativeMindz,https://www.google.com/url?hl=en&amp;q=http://www.facebook.com/DOUGLAStoys&amp;source=gmail&amp;ust=1493132214149000&amp;usg=AFQjCNExlEWWqrGd2R2fip2_jcVXX0YV3g,cannot find,,,,,,,,,,,,
Chua,,Yes,Yes,"Rua Alferes Malheiro, 189 4000-059, Porto Portugal",http://www.chua.pt/,,,"CHUA is a brand dedicated to the universe of parents and children. Born from the wishes of 1 mother, CHUA is designed and produced by hand in Portugal.",No,No,Newborn,8 Year,cannot find,https://www.instagram.com/chua_baby/,https://www.facebook.com/chuababyandkids/,http://pinterest.com/chuababy/,,,,,,,,,,,,
ciao bimba,,,,,https://www.ciaobimba.com,,,,,,,,cannot find,https://www.instagram.com/ciaobimba.dolls/,https://www.facebook.com/ciaobimbadolls,https://www.pinterest.com/CiaoBimbaDolls/,,,,,,,,,,,,
Cienta,,,,,https://cientausa.com/,,,,,,,,cannot find,http://instagram.com/cientashoes,cannot find,cannot find,,,,,,,,,,,,
Cienta</div>,,,,,https://cientausa.com/,,,,,,,,cannot find,http://instagram.com/cientashoes,cannot find,cannot find,,,,,,,,,,,,
Cigit Kids,,Yes,Yes,CGT Tekstil İnşaat ve Tic.Ltd.Şti. Merkez Mah. Ferah Sk. No: 22 / A Çekmeköy / İSTANBUL,http://www.cigit.com.tr/,,,"At the start of 2017 our company started working on a new concept in addition to its kids wear collection, it started producing children's room products, bed products, cloth and rag toys, children's room lights, and also added decorators collections to its products range.",Maybe,No,Newborn,14 Year,https://twitter.com/cigitkids,https://www.instagram.com/cigitkids/,https://www.facebook.com/CigitKidsOfficial,https://www.youtube.com/watch?v=YFNsAH8SyGM,,,,,,,,,,,,
city goats,,,,,www. city-goats.com,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
City Threads,,,,,https://www.citythreads.com/,,,,,,,,https://twitter.com/citythreads,cannot find,https://www.facebook.com/CityThreads/,cannot find,,,,,,,,,,,,
Civiliants,,,,,http://www.civiliants.com/SE/,,,,,,,,,,,,,,,,,,,,,,,
Claesen's,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Claire & Charlie</div>,,,,,http://www.clairecharlie.com/main.php,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
clarechen,,,,,www. clarechen.com,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
CLimbing Trees,,,,,https://www.climbingtreeskids.com,,,,,,,,http://www.twitter.com/climbingtreests,https://instagram.com/climbingtreeskids/,http://www.facebook.com/climbingtreeskids,https://www.pinterest.com/ClimbingTreesTs/,,,,,,,,,,,,
clo&tilde,,,,,http://www.cloytilde.com/index.htm,,,,,,,,cannot find,https://instagram.com/cloytilde/,https://es-la.facebook.com/LaTortugaPretita,cannot find,,,,,,,,,,,,
Clonhadas,,,,,http://www.clonhadas.com.co/,,,,,,,,https://twitter.com/Clonhadas1,cannot find,https://www.facebook.com/ClonhadasLtda,cannot find,,,,,,,,,,,,
CME by Marie Chantele,,,,,https://mariechantal.com/,,,,,,,,https://twitter.com/MarieChantalUK,http://instagram.com/mariechantalchildren,https://www.facebook.com/pages/Marie-Chantal/67365192973,http://www.pinterest.com/mariechantalUK/,,,,,,,,,,,,
Coccoli,,,,,http://www.coccoli.com/en,,,,,,,,cannot find,https://www.instagram.com/coccolibaby/,https://www.facebook.com/Coccoli-581993871828938/,cannot find,,,,,,,,,,,,
Coco Blanc,,,,,http://cocoblanc.com/index.php/,,,,,,,,https://twitter.com/cocoblanckids,http://instagram.com/cocoblanckids,http://facebook.com/cocoblanc,cannot find,,,,,,,,,,,,
Coco Collection,,Yes,Yes,,,,,"Rompers, babygrows and dresses with tiny pin tucks, delicate lace trims, the softest fabrics and classic styling. Complete with matching accessories, with gift boxes available, Coco garments are perfect new baby gifts.",,No,,,,,,,,,,,,,,,,,,
coco moon,,,,,www. cocomoonhawaii.com,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Cocoa Baby,,,,,https://cocoa-baby.com/,,,,,,,,http://www.twitter.com/@cocoababykids,cannot find,https://www.facebook.com/COCOABABYKIDS,http://www.pinterest.com/EMANUELAMATLOCK,,,,,,,,,,,,
Cofucu Baby,,,,,http://www.cofucubaby.com/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Colette Kids,,,,,http://www.colettekids.com/,,,,,,,,cannot find,cannot find,http://www.facebook.com/colettekidsusa,cannot find,,,,,,,,,,,,
Colmar (Outerwear),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colored Organics,,,,,https://www.coloredorganics.com/,,,,,,,,https://twitter.com/coloredorganics,http://instagram.com/coloredorganics,http://facebook.com/coloredorganics,http://pinterest.com/coloredorganics,,,,,,,,,,,,
Colorfly</div>,,,,,https://www.flyingcolorsbaby.com/,,,,,,,,cannot find,https://instagram.com/flyingcolorsbaby,https://facebook.com/flyingcolorsbaby,https://pinterest.com/fgsegal1,,,,,,,,,,,,
Company,,,,,http://www.complot.com.ar/,,,,,,,,http://twitter.com/ComplotRock,https://www.instagram.com/complotrock/,https://www.facebook.com/complot.com.ar,cannot find,,,,,,,,,,,,
Complot Mini,,,,,http://www.complot.com.ar,,,,,,,,http://twitter.com/ComplotRock,https://www.instagram.com/complotrock/,https://www.facebook.com/complot.com.ar,cannot find,,,,,,,,,,,,
concocon,,,,,www. concocon.jp,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Condor</div>,,,,,https://www.condor.es/tienda/en/,,,,,,,,https://twitter.com/Condormoda,https://www.instagram.com/condormodainfantil/,https://www.facebook.com/condormodainfantil,https://www.pinterest.com/condormoda/,,,,,,,,,,,,
Confetti &Friends,,,,,http://www.confettiandfriends.com/,,,,,,,,cannot find,cannot find,https://www.facebook.com/pages/Bunk-Junk/181760035226430,cannot find,,,,,,,,,,,,
Confetti and Friends,,,,,http://www.confettiandfriends.com/,,,,,,,,cannot find,cannot find,https://www.facebook.com/pages/Bunk-Junk/181760035226430,cannot find,,,,,,,,,,,,
Conguitos,,No,Yes,"C/ Marie Curie, 21 Elche Parque Empresarial 03203 Elche (Alicante)",https://www.conguitos.es/es/,,,"Transparency, confidence and security are the values that inspire Conguitos’ philosophy. Their products are developed with love, sense of responsibility and a commitment to make life easier for parents and children from zero to twelve.",,No,2 Year,12 Year,https://twitter.com/conguitosofcl,https://www.instagram.com/conguitos/,https://www.facebook.com/conguitosofficial,https://www.pinterest.com/conguitosofcl/,,,,,,,,,,,,
Conifere,,,,,https://www.conifere.com/,,,,,,,,cannot find,https://www.instagram.com/coniferekids/,https://www.facebook.com/coniferebrand/,cannot find,,,,,,,,,,,,
ConRad Basics</div>,,,,,https://www.frankiesonthepark.com/,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
Consulate General of Brazil</div>,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Converse,,,,,https://www.converse.com/us/en_us/c/converse?cp=usns_kw_converse_null_txt!g!c!br!e!converse&k_clickid=c924718f-dc22-477a-aaf1-4e08740f4c56,,,,,,,,https://twitter.com/converse,https://www.instagram.com/converse/,https://www.facebook.com/converse,cannot find,,,,,,,,,,,,
Coobie Baby,,Yes,Yes,"R. da Sra. da Luz 197, 4150-693 Porto",https://coobiebaby.com/,,,"Coobie is baby, toddler and child fashion brand that offers clothes, from birth to 14 years of ages. Developed with the greatest care and detail. Each COOBIE collection is unique.",,No,Newborn,14 Year,cannot find,https://www.instagram.com/coobiebaby/?hl=pt,https://www.facebook.com/coobiebaby/,cannot find,,,,,,,,,,,,
Copper Pearl,,,,,https://www.copperpearl.com/,,,,,,,,cannot find,https://www.instagram.com/copperpearl/,https://www.facebook.com/copperpearl/,https://www.pinterest.com/copperpearl/,,,,,,,,,,,,
Copper Pearl</div>,,,,,https://www.copperpearl.com/,,,,,,,,cannot find,https://www.instagram.com/copperpearl/,https://www.facebook.com/copperpearl/,https://www.pinterest.com/copperpearl/,,,,,,,,,,,,
Coquelicot,,,,,http://www.coquelicot.pt/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Corby TIndersticks,,,,,http://corbytindersticks.bigcartel.com/,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
Coton PomPom</div>,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
CPC Childrenswear</div>,,,,,https://cpcchildrenswear.com/,,,,,,,,https://twitter.com/CPCKidswear,https://www.instagram.com/cpcchildrenswear/,https://www.facebook.com/cpcchildrenswear,https://www.pinterest.com/cpckidswear/,,,,,,,,,,,,
Craghoppers,,,,,https://www.craghoppers.com/kids/,,,,,,,,https://twitter.com/CraghoppersUK,https://www.instagram.com/craghoppersofficial,https://www.facebook.com/CraghoppersUK,cannot find,,,,,,,,,,,,
Creamie,,,,,https://www.creamie.eu/,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
crème chantilly,,,,,www. fujiya-kids.com,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Crew and Lu,,,,,https://shopcrewandlu.com/,,,,,,,,cannot find,http://instagram.com/crewandlu,http://facebook.com/crewandlu,http://pinterest.com/crewandlu,,,,,,,,,,,,
Crewcuts,,,,,https://www.jcrew.com/Girls.jsp?sidecar=true&srccode=PMG|G|Crewcuts-US-Core-B-BMM|+crewcuts&NoPopUp=True&gclid=EAIaIQobChMIrOre-r6F2AIVzFcNCh2N7QMcEAAYASAAEgIMi_D_BwE&gclsrc=aw.ds,,,,,,,,https://twitter.com/jcrew,http://instagram.com/jcrew,https://www.facebook.com/jcrew,http://pinterest.com/jcrew/,,,,,,,,,,,,
crewkids ny,,,,,www. crewkidsny.com,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Cruz Kids</div>,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
CTH Mini,,,,,http://www.cthericson.se/,,,,,,,,cannot find,https://www.instagram.com/cthmini/,https://www.facebook.com/cthmini/,cannot find,,,,,,,,,,,,
CU Lights,,,,,https://www.culights.com/,,,,,,,,cannot find,https://www.instagram.com/cu_lights/,https://www.facebook.com/culights/,cannot find,,,,,,,,,,,,
Cucile Baby,,Yes,Yes,,https://www.cucliebaby.com/,,,,,No,Newborn,2 Year,cannot find,https://instagram.com/cucliebaby,https://www.facebook.com/pages/Cuclie-Baby/1496735323927460,cannot find,,,,,,,,,,,,
Cupcakes and Pastries,,,,,http://www.cupcakesandpastries.com/,,,,,,,,http://www.twitter.com/cupcakesandpast,cannot find,http://www.facebook.com/cupcakesandpastriesLA,cannot find,,,,,,,,,,,,
Curious Wonderland,,,,,http://www.curiouswonderland.com.au/,,,,,,,,https://twitter.com/OhSoCuriousKids,http://instagram.com/curiouswonderlandau,https://www.facebook.com/CuriousWonderland,https://www.pinterest.com/OhSoCuriousKids/,,,,,,,,,,,,
"Curly Girls, Inc.</div>",,,,,https://www.curlygirlsshowroom.com/,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
curumi,,,,,www. curumi.es,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Cyber Jammies,,,,,http://www.cyberjammies.co.uk/,,,,,,,,https://twitter.com/Cyberjammies?lang=en-gb,https://www.instagram.com/cyberjammies/,https://en-gb.facebook.com/Cyberjammies/,https://uk.pinterest.com/cyberjammies/,,,,,,,,,,,,
Cyrillus,,,,,https://www.cyrillus.com/en/,,,,,,,,https://twitter.com/Cyrillus_fr,http://instagram.com/cyrillusofficiel,https://www.facebook.com/Cyrillus.fr,http://pinterest.com/cyrillus/,,,,,,,,,,,,
Czesiociuch,,,,,http://www.czesiociuch.pl/,,,,,,,,cannot find,cannot find,cannot find,http://pinterest.com/czesiociuch/boards/,,,,,,,,,,,,
D.fesense,,,,,http://www.dfesense.jp/,,,,,,,,https://twitter.com/DADWAY_PR,https://www.instagram.com/d.fesense/,https://www.facebook.com/dfesense,cannot find,,,,,,,,,,,,
Dabbawalla Bags,,,,,https://dabbawallabags.com/,,,,,,,,cannot find,https://www.instagram.com/dabbawallabags/,https://www.facebook.com/DabbawallaBags,https://www.pinterest.com/dabbawallabags/,,,,,,,,,,,,
Dagmar Daley,,,,,http://dagmardaleystore.com,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
Daisy & Blu</div>,,,,,www.daisyandblu.com,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Dani,,,,,http://www.danikids.com/,,,,,,,,,,,,,,,,,,,,,,,
Dandy Star,,,,,https://dandystar.com/,,,,,,,,cannot find,https://instagram.com/dandystars,https://www.facebook.com/Dandy-Star-161795830527891/?fref=ts,https://uk.pinterest.com/dandystar/dandy-star/,,,,,,,,,,,,
Danefae,,,,,http://danefae.dk/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Darcy Brown,,,,,http://darcybrown.co.uk/,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
David Charles Childrenswear,,,,,https://davidcharleschildrenswear.com/,,,,,,,,https://twitter.com/DavidCharlesCW,https://www.instagram.com/davidcharleschildrenswear/,http://www.facebook.com/DavidCharlesChildrenswear,https://uk.pinterest.com/davidcharlescw/,,,,,,,,,,,,
David Oliver</div>,,,,,http://davidoliverdiscounts.co.uk/,,,,,,,,cannot find,cannot find,https://www.facebook.com/pages/David-Oliver-Designer-Outlets/578449158898914,cannot find,,,,,,,,,,,,
dbb ideas,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
De Nachos,,,,,www. www.denachos.co.jp/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Debenhams,,,,,http://www.debenhams.com/,,,,,,,,https://twitter.com/Debenhams,https://instagram.com/debenhams/,https://www.facebook.com/Debenhams,https://www.pinterest.com/debenhams/,,,,,,,,,,,,
december made,,,,,www. decembermade.com,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
decorate,,,,,www. www.decorate-net.com,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Dehry Kids,,,,,http://www.derhy.com/,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
delieb,,,,,www. iedge.jp/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Delta June Designs</div>,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Dennise Marie Showroom</div>,,,,,http://www.dennisemarie.net/,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
Design History</div>,,,,,https://www.designhistoryny.com/children,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
Designer Kidz Melbourne</div>,,,,,https://www.designerkidz.com.au/,,,,,,,,cannot find,cannot find,https://www.facebook.com/designerkidzmelbourne/,https://au.pinterest.com/designerkidzmel/,,,,,,,,,,,,
Desigual,,,,,http://www.desigual.com/,,,,,,,,https://twitter.com/desigual,cannot find,cannot find,cannot find,,,,,,,,,,,,
Details,,,,,http://www.detailsdirect.com/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Deux pa Deux,,,,,https://www.deuxpardeux.com/#,,,,,,,,https://twitter.com/deuxpardeuxKIDS,https://www.instagram.com/deuxpardeuxkids/,https://www.facebook.com/DeuxparDeuxUSA,http://www.pinterest.com/deuxpardeuxKIDS/,,,,,,,,,,,,
devon’s drawer,,,,,www. devonsdrawer.com,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Diadora,,,,,https://www.diadora.com/en/us/,,,,,,,,,,,,,,,,,,,,,,,
Diapers and Milk,,,,,https://diapers-and-milk.com/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Didriksons,,,,,https://www.didriksons.com/en-gb/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Diesel Kids,,,,,https://shop.diesel.com/,,,,,,,,https://twitter.com/diesel,http://instagram.com/diesel,https://www.facebook.com/Diesel/events,http://www.pinterest.com/diesel/,,,,,,,,,,,,
Dijjie,,,,,http://www.dijjie.com/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
DiLascia,,,,,https://dilascia.com/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Dimensione Danza,,,,,http://www.dimensionedanza.com/?lang=en,,,,,,,,,,,,,,,,,,,,,,,
Dinui,,,,,http://dinui.com/?ckattempt=1,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
Disney by Tutu Couture</div>,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
DKNY,,,,,https://www.dkny.com/us/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
DL1961 Premium Denim,,,,,http://www.dl1961.com/girls-jeans,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Doe a Dear,,,,,https://www.doeadear.co/,,,,,,,,https://www.doeadear.co,cannot find,https://www.doeadear.co,cannot find,,,,,,,,,,,,
Dogwood,,,,,http://dogwoodusa.com/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Dolce and Gabbana Jr,,,,,http://www.dolcegabbana.com/child/,,,,,,,,http://twitter.com/share?text=Dolce%26Gabbana%20Children%27s%20Spring%20Summer%202018%20Collection%3A%20discover%20the%20new%20collection%20and%20the%20Fashion%20Show%20through%20the%20photogallery%20and%20the%20runway%20video.&amp;url=http://www.dolcegabbana.com/child/,http://instagram.com/dolcegabbana,https://www.facebook.com/dialog/share?app_id=1118370288207526&amp;display=popup&amp;href=http://www.dolcegabbana.com/child/&amp;redirect_uri=http://www.dolcegabbana.com/child/,https://www.pinterest.com/pin/create/bookmarklet/?media=http://fast.dolceandgabbana.com/wp-content/uploads/dolce-and-gabbana-summer-2018-child-collection-banner_1920x1080--800x333.jpg&amp;url=http://www.dolcegabbana.com/child/&amp;is_video=false&amp;description=Dolce%26Gabbana%20Children%27s%20Spring%20Summer%202018%20Collection%3A%20discover%20the%20new%20collection%20and%20the%20Fashion%20Show%20through%20the%20photogallery%20and%20the%20runway%20video.,,,,,,,,,,,,
Dolce Goccia,,,,,http://dolcegoccia.com/,,,,,,,,https://www.twitter.com/,https://www.instagram.com/,https://www.facebook.com/,cannot find,,,,,,,,,,,,
Dolls and Divas Couture</div>,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Dolly by Le Petit Tom,,,,,https://www.lepetittom.nl/,,,,,,,,,,,,,,,,,,,,,,,
Dondolo</div>,,,,,http://www.dondolo.com/,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
Dondup,,,,,www.dondup.com/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Donsje,,,,,https://www.donsje.com/,,,,,,,,cannot find,https://www.instagram.com/donsjeamsterdam/,https://www.facebook.com/pages/Donsje/505444316149936?fref=ts,https://nl.pinterest.com/donsjeamsterdam/,,,,,,,,,,,,
dooboo,,,,,http://en.ilovedooboo.com/,,,,,,,,https://twitter.com/dooboo_sooyoun,http://instagram.com/dooboo.official,https://www.facebook.com/ilovedooboo,cannot find,,,,,,,,,,,,
doodle do,,,,,www. ilovedoodledo.com,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Dori Creations,,,,,http://doricreations.com/Home_Page.html,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
Dorian Gray,,,,,http://www.doriangray.es/,,,,,,,,http://www.twitter.com/MediasDorian,cannot find,http://www.facebook.com/Medias.Dorian.Gray,http://www.pinterest.com/MediasDorian,,,,,,,,,,,,
Dorissa Girl</div>,,,,,http://sugarplumfashions.com/#home,,,,,,,,cannot find,https://www.instagram.com/sugarplumny/,https://www.facebook.com/sugarplumfashions,cannot find,,,,,,,,,,,,
Dot & Line</div>,,,,,http://www.thelineanddot.com/,,,,,,,,cannot find,https://instagram.com/thelineanddot/,https://www.facebook.com/pages/Line-Dot/124502844256280/,cannot find,,,,,,,,,,,,
DOT Baby,,Yes,Yes,"Rua Junqueira de Baixo 129, Edificio 1 Sala 4, Vilar do Paraiso, 4405-870 Vila Nova de Gaia,",http://www.dot-baby.com/,,2008,We are pleased to announce the UK wholesale launch of DOT – a stylish and practical source of baby clothing and accessories.,,,3 Month,12 Year,cannot find,https://www.instagram.com/dotbabyportugal/?hl=en,https://www.facebook.com/DOTdelicatebabyandmummyclothes,cannot find,,,,,,,,,,,,
dott child,,,,,http://dottchild.com/,,,,,,,,https://twitter.com/uix,https://instagram.com/uix,https://facebook.com/uix,https://pinterest.com/uix,,,,,,,,,,,,
Dotty Dungarees,,Yes,Yes,,https://www.dottydungarees.com,,2014,"Dungarees are childhood classics and, having both been brought up in them, we wanted our children’s early memories to be filled with dungaree days spent outdoors exploring, imagining, creating worlds and universes all of their own",,No,Newborn,2 Year,https://twitter.com/dottydungarees,cannot find,https://en-gb.facebook.com/dottydungareesltd/,cannot find,,,,,,,,,,,,
Douglas Company</div>,,,,,https://douglascuddletoy.com/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Douuod,,,,,https://douuodkids.com/en,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Dr. Kid,,Yes,Yes,"Rua da Agrela, n ° 219 4635-664 Vila Boa de Quires MCN PORTUGAL",http://dr-kid.com/,,,"DR. KID is a children’s clothing brand, developing collections for newborn, baby and children. The knitting has an undeniable sign in his DNA.",No,No,Newborn,14 Year,cannot find,http://www.instagram.com/dr.kid_,https://www.facebook.com/dialog/oauth?client_id=143159452493054&amp;redirect_uri=http%3A%2F%2Fweasy.io%2Ffacebook%2Fredirect.php%3Fws%3Dhttp%253A%252F%252Fdr-kid.com%252Flogin%252Ffacebook&amp;state=b14abfc7c8218b01cc6de8e187ea127f&amp;scope=email,https://www.pinterest.pt/DRKID1/,,,,,,,,,,,,
Dreamers,,,,,www. dreamers-collection.com ,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Dress Like Flo,,,,,https://www.flo.nl/,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
dribble,,,,,www. dribble.jp,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Dsquared,,,,,http://www.dsquared2.com/system/selfservice.controller?CONFIGURATION=1400&PARTITION_ID=1&CMD=VIEW_ARTICLE&LANGUAGE=en&COUNTRY=us&USERTYPE=1&ARTICLE_ID=8220,https://www.flo.nl/,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Du Pareil au meme,,,,,http://en.dpam.com/,,,,,,,,https://twitter.com/dpam_officiel,http://instagram.com/dpam_officiel,https://www.facebook.com/dpam,http://pinterest.com/dupareilaumeme/,,,,,,,,,,,,
DUNS Sweden,,,,,http://www.dunssweden.se/,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
Duo Showroom</div>,,,,,http://www.duokids.com/,,,,,,,,cannot find,http://instagram.com/duoshowroom_nyc,https://www.facebook.com/DUO-Showroom-157835654242148/,https://www.pinterest.com/duokids/,,,,,,,,,,,,
dyo ministyling,,,,,www. dyoministyling.com,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
e & t,,,,,www. eandt.tokyo/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
E Land,,,,,https://elandkids.com/,,,,,,,,cannot find,https://www.instagram.com/elandkids/,https://www.facebook.com/elandkidsusa/,cannot find,,,,,,,,,,,,
EAN 13,,,,,http://www.ean13.it/,,,,,,,,cannot find,cannot find,cannot find,cannot find,,,,,,,,,,,,
Earlydays,,,,,http://www.earlydays.ltd.uk/,,,,,,,,https://twitter.com/earlydaysltd,cannot find,https://www.facebook.com/pages/Early-Days/364315936919334,cannot find,,,,,,,,,,,,
EAST END HIGHLANDERS,,,,,http://www.eastendhighlanders.jp/,,,,,,,,http://twitter.com/EastEndHigh,http://instagram.com/eastendhighlanders,https://www.facebook.com/pages/EAST-END-HIGHLANDERS/678087785578280,cannot find,,,,,,,,,,,,
Easy Peasy,,,,,www. easypeasy.fr,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Ebbe Kids,,,,,https://www.ebbekids.se/,,,,,,,,cannot find,https://www.instagram.com/ebbekids/,https://www.facebook.com/ebbekids.se/,cannot find,,,,,,,,,,,,
Eddie Pen,,,,,http://www.eddiepen.com/,,,,,,,,cannot find,https://www.instagram.com/eddiepen_/,https://www.facebook.com/eddiepenabbigliamento,cannot find,,,,,,,,,,,,
Eddy & Scout,,,,,https://www.eddyandscout.com/,,,,,,,,,,,,,,,,,,,,,,,
eeni meeni miini moh,,,,,http://www.eenimeeni.com/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
EFL Kids</div>,,,,,http://www.eflsales.com,,,,,,,,https://twitter.com/efl_sales,https://www.instagram.com/eflsales/,https://www.facebook.com/eflsales/?fref=ts,cannot find,,,,,,,,,,,,
EFVVA,,,,,http://shop.efvva.com/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
Egg by Susan Lazar,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
El Taller de la Abuela,,Yes,Yes,"104 Ayala Street Madrid, 28006",https://www.eltallerdelaabuela.es/,,,,No,No,3 Year,14 Year,https://twitter.com/eltallerdela,https://www.instagram.com/eltallerdelaabuela/,https://www.facebook.com/eltallerdelaabuela,https://www.pinterest.com/eltallerdelaabuela,,,,,,,,,,,,
Electrik Kids,,,,,https://www.electrikkidz.com/,,,,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,
